2013/09/22,15:20:44,0.005,"Sebastian Vettel"
2013/09/22,09:32:28,0.01,"Sebastian Vettel"
2013/09/21,15:12:06,0.01515151515152,"Sebastian Vettel"
2013/09/21,15:11:45,0.02,"Sebastian Vettel"
2013/09/20,17:42:06,0.03030303030303,"Sebastian Vettel"
2013/09/08,15:53:16,0.04,"Sebastian Vettel"
2013/09/08,14:48:44,0.03030303030303,"Sebastian Vettel"
2013/09/07,14:11:00,0.08333333333333,"Sebastian Vettel"
2013/09/07,10:30:10,0.125,"Sebastian Vettel"
2013/08/25,14:49:17,0.14285714285714,"Sebastian Vettel"
2013/08/24,16:05:34,0.22222222222222,"Sebastian Vettel"
2013/08/02,18:34:19,0.25,"Sebastian Vettel"
2013/07/31,13:51:39,0.22222222222222,"Sebastian Vettel"
2013/07/31,13:50:54,0.25,"Sebastian Vettel"
2013/07/07,15:11:32,0.28571428571429,"Sebastian Vettel"
2013/07/06,14:49:09,0.36363636363636,"Sebastian Vettel"
2013/07/06,11:20:58,0.4,"Sebastian Vettel"
2013/06/30,14:50:46,0.44444444444444,"Sebastian Vettel"
2013/06/30,12:22:19,0.36363636363636,"Sebastian Vettel"
2013/06/29,14:29:13,0.4,"Sebastian Vettel"
2013/06/09,21:10:18,0.44444444444444,"Sebastian Vettel"
2013/06/09,21:02:05,0.5,"Sebastian Vettel"
2013/06/09,20:55:56,0.53333333333333,"Sebastian Vettel"
2013/06/09,20:55:21,0.57142857142857,"Sebastian Vettel"
2013/06/09,15:09:42,0.66666666666667,"Sebastian Vettel"
2013/06/09,15:09:36,0.66666666666667,"Sebastian Vettel"
2013/06/08,19:34:50,0.72727272727273,"Sebastian Vettel"
2013/05/26,15:59:50,0.83333333333333,"Sebastian Vettel"
2013/05/26,15:55:35,0.90909090909091,"Sebastian Vettel"
2013/05/25,15:39:02,1.2,"Sebastian Vettel"
2013/05/12,15:12:07,1.25,"Sebastian Vettel"
2013/05/12,15:07:01,1.2,"Sebastian Vettel"
2013/04/21,15:23:52,0.90909090909091,"Sebastian Vettel"
2013/04/21,15:13:11,0.83333333333333,"Sebastian Vettel"
2013/04/14,10:12:38,1.5,"Sebastian Vettel"
2013/04/14,10:07:47,1.375,"Sebastian Vettel"
2013/04/14,10:07:17,1.5,"Sebastian Vettel"
2013/04/13,08:37:06,1.25,"Sebastian Vettel"
2013/04/13,06:10:03,1.2,"Sebastian Vettel"
2013/04/12,08:55:37,1,"Sebastian Vettel"
2013/03/24,10:03:34,0.90909090909091,"Sebastian Vettel"
2013/03/23,10:10:40,1.5,"Sebastian Vettel"
2013/03/23,06:05:35,1.375,"Sebastian Vettel"
2013/03/18,07:09:29,1.5,"Sebastian Vettel"
2013/03/17,08:00:42,1.625,"Sebastian Vettel"
2013/03/17,07:57:28,1.5,"Sebastian Vettel"
2013/03/17,01:07:40,0.83333333333333,"Sebastian Vettel"
2013/03/16,04:21:11,1.25,"Sebastian Vettel"
2013/03/16,03:29:59,1.375,"Sebastian Vettel"
2013/03/15,07:36:57,1.25,"Sebastian Vettel"
2013/03/15,06:28:38,0.90909090909091,"Sebastian Vettel"
2013/03/15,05:40:56,1,"Sebastian Vettel"
2013/03/15,03:01:03,1.2,"Sebastian Vettel"
2013/03/02,12:02:24,1.5,"Sebastian Vettel"
2013/02/09,14:48:42,1.375,"Sebastian Vettel"
2013/02/07,14:34:09,1.5,"Sebastian Vettel"
2013/02/06,12:34:57,1.375,"Sebastian Vettel"
2012/11/25,19:14:45,1.25,"Sebastian Vettel"
2013/10/13,11:19:37,150,"Fernando Alonso"
2013/10/13,08:59:23,100,"Fernando Alonso"
2013/10/13,08:58:46,80,"Fernando Alonso"
2013/10/06,09:08:23,66,"Fernando Alonso"
2013/09/22,15:20:46,33,"Fernando Alonso"
2013/09/21,15:11:47,25,"Fernando Alonso"
2013/09/20,17:42:07,22,"Fernando Alonso"
2013/09/08,15:53:27,20,"Fernando Alonso"
2013/09/08,14:50:10,16,"Fernando Alonso"
2013/09/08,14:48:48,14,"Fernando Alonso"
